time,N,P,Q,R
261.9,3.2922552259767186,0.9960807238637365,2.2850793870032535,2.6658756407223176
261.92,3.295671424472287,0.9957278902157667,2.286451845489262,2.6681326931710467
261.94,3.2990935377744934,0.9953752089031503,2.2878274902942475,2.6703939216741905
261.96,3.3025215758250535,0.9950226799159941,2.2892063249861168,2.672659332497877
261.98,3.3059555485851155,0.9946703032444244,2.290588353142497,2.6749289319214786
262.0,3.309395466035266,0.9943180788785905,2.2919735783507367,2.6772027262376135
262.02,3.3128413381756228,0.9939660068086587,2.2933620042079403,2.6794807217522068
262.04,3.3162931750258426,0.9936140870248154,2.294753634320972,2.681762924784494
262.06,3.3197509866251256,0.9932623195172703,2.2961484723064536,2.684049341667024
262.08,3.323214783032309,0.9929107042762507,2.297546521790803,2.6863399787457207
262.1,3.326684574325874,0.9925592412920043,2.2989477864102357,2.688634842379886
262.12,3.3301603706039518,0.9922079305548027,2.3003522698107632,2.690933938942201
262.14,3.3336421819844175,0.9918567720549352,2.301759975648233,2.693237274818791
262.16,3.3371300186048964,0.9915057657827121,2.3031709075883273,2.6955448564092266
262.18,3.3406238906227697,0.991154911728468,2.3045850693065644,2.697856690126526
262.2,3.34412380821527,0.9908042098825558,2.306002464488337,2.7001727823972197
262.22,3.3476297815794873,0.9904536602353496,2.3074230968289124,2.7024931396613514
262.24,3.3511418209323742,0.9901032627772484,2.3088469700334326,2.704817768372482
262.26,3.354659936510842,0.9897530174986696,2.310274087816954,2.7071466749977513
262.28000000000003,3.3581841385717675,0.9894029243900528,2.311704453904446,2.7094798660178827
262.3,3.361714437391997,0.9890529834418624,2.3131380720307932,2.7118173479271848
262.32,3.3652508432684445,0.9887031946445821,2.314574945940834,2.7141591272336147
262.34000000000003,3.3687933665180965,0.9883535579887177,2.3160150793893597,2.716505210458782
262.36,3.372342017478018,0.9880040734648005,2.317458476141117,2.718855604137951
262.38,3.37589680650545,0.9876547410633814,2.318905139970845,2.7212103148201026
262.4,3.3794577439778046,0.9873055607750351,2.3203550746632735,2.723569349067935
262.42,3.383024840292722,0.9869565325903581,2.3218082840131427,2.7259327134578957
262.44,3.3865981058680656,0.986607656499973,2.3232647718252024,2.728300414580181
262.46,3.390177551142021,0.9862589324945222,2.3247245419142484,2.730672459038798
262.48,3.3937631865730995,0.985910360564672,2.3261875981051245,2.733048853451569
262.5,3.397355022640147,0.9855619407011145,2.327653944232724,2.7354296044501347
262.52,3.4009530698424406,0.9852136728945626,2.3291235841420277,2.7378147186800166
262.54,3.4045573386996937,0.9848655571357533,2.3305965216881046,2.7402042028006224
262.56,3.4081678397520627,0.9845175934154499,2.3320727607361147,2.7425980634852483
262.58,3.4117845835602467,0.9841697817244369,2.3335523051613456,2.744996307421143
262.6,3.4154075807054913,0.9838221220535232,2.3350351588492155,2.7473989413095126
262.62,3.419036841789597,0.9834746143935444,2.3365213256952737,2.7498059718655212
262.64,3.4226723774350156,0.9831272587353582,2.3380108096052394,2.752217405818358
262.66,3.426314198284859,0.9827800550698466,2.339503614495003,2.75463324991124
262.68,3.429962315002902,0.982433003387919,2.3409997442906283,2.7570535109014145
