parameter,label,factor,b,F,G,H,S,a_hat,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,N_star,P_star,G_4,ell_1,a_H_ratio,tau_ratio,omega_ratio,P_star_ratio
K,$K$,0.928,0.24433143019021505,0.9403021522212041,-0.4886628603804301,-2.0,-0.0,1.9182259408525788,0.2968320367653506,3.3689085952353333,6.7378171904706665,0.05156859894436926,121.84130334736665,20.0,1.4113835523033906,-1.9513567831232481,-2.9277390589628522,0.8401908496228064,1.190205773425095,0.983607008299284,0.9912638508734174
K,$K$,0.932,0.24328279744261758,0.9408134804684943,-0.48656559488523515,-2.0,-0.0,1.9379025900869384,0.2998768604978231,3.3347021118598756,6.669404223719751,0.05162447341192016,121.70943143661762,20.0,1.4121510505765245,-1.9542603118352135,-2.928921918693024,0.8488093028956251,1.1781209237323431,0.9846727444060057,0.9918028916554384
K,$K$,0.936,0.24224312736807643,0.9413182672429339,-0.48448625473615287,-2.0,-0.0,1.957648204378172,0.30293235609009145,3.3010669870556915,6.602133974111383,0.05167926497180553,121.58039226385053,20.0,1.412908730168325,-1.9570753411030346,-2.9300311224775375,0.857457963146931,1.1662379299970924,0.9857178253933141,0.9923350364354103
K,$K$,0.9400000000000001,0.24121230554948886,0.9418166236515,-0.4824246110989777,-2.0,-0.0,1.9774629466818807,0.3059985487583943,3.267989355039605,6.53597871007921,0.051733000010370185,121.45410677749376,20.0,1.4136567578491865,-1.9598046417683936,-2.9310696230682063,0.8661369017519479,1.1545518935601118,0.9867427545479814,0.9928604023419924
K,$K$,0.944,0.24019021950902497,0.9423086584522063,-0.48038043901804994,-2.0,-0.0,1.9973469777644872,0.30907546338021,3.235455797957819,6.470911595915638,0.05178570415129452,121.33049864153526,20.0,1.4143952968637337,-1.9624508915528005,-2.9320402540472537,0.8748461891270294,1.1430580740116798,0.9877480206099021,0.9933791040275727
K,$K$,0.948,0.23917675866721477,0.9427944781134449,-0.47835351733442955,-2.0,-0.0,2.017300456201728,0.312163124494024,3.203453327874234,6.406906655748468,0.051837402280739533,121.20949412455681,20.0,1.4151245070198923,-1.9650166783689451,-2.9329457349546377,0.8835858947290006,1.1317518828282156,0.9887340982517037,0.9938912537308268
K,$K$,0.952,0.23817181430306678,0.9432741868715855,-0.47634362860613355,-2.0,-0.0,2.037323538380716,0.3152615562996471,3.1719693696161566,6.343938739232313,0.05188811857158662,121.09102199400598,20.0,1.4158445447753483,-1.9675045035113132,-2.9337886761765226,0.8923560870560597,1.120628877311819,0.9897014485410911,0.9943969613374393
K,$K$,0.956,0.23717527951518785,0.9437478867868925,-0.4743505590303757,-2.0,-0.0,2.0574163785040325,0.3183707826588495,3.140991744432626,6.281983488865252,0.05193787650679041,120.97501341546216,20.0,1.4165555633214746,-1.9699167847303942,-2.934571583607981,0.9011568336495718,1.1096847548169013,0.9906505193862725,0.9948963344390496
K,$K$,0.96,0.23618704918387456,0.944215677797814,-0.47237409836774913,-2.0,-0.0,2.0775791285966387,0.3214908270964297,3.1105086544197253,6.221017308839451,0.05198669890189165,120.86140185659988,20.0,1.4172577126648216,-1.972255859194555,-2.9352968631004757,0.9099882010970946,1.0989153472477842,0.9915817459653645,0.9953894783904854
K,$K$,0.964,0.23520701993414894,0.9446776577736968,-0.4704140398682979,-2.0,-0.0,2.0978119385141207,0.32462171280149055,3.0805086676734716,6.161017335346943,0.05203460792670686,120.7501229956367,20.0,1.4179511397062405,-1.9745239863436732,-2.9359668247058908,0.9188502550359908,1.0883166158133466,0.9924955511400961,0.9958764963653335
