key,label,normalized_time,n,p,q,r
theta_2,$1-n^2$,1.5699999999999659,0.34505139979493715,0.3800698907267436,0.34928370483063215,0.34076444569563313
theta_2,$1-n^2$,1.5716666666666286,0.34565879696489515,0.37842353384209243,0.3490002915690378,0.340918558080767
theta_2,$1-n^2$,1.5733333333332913,0.34628152933554285,0.3767813166781935,0.3487318262231686,0.3410881450593926
theta_2,$1-n^2$,1.574999999999954,0.34691957691542924,0.37514340875316887,0.3484783263919604,0.34127320161592056
theta_2,$1-n^2$,1.5766666666666167,0.34757291911720617,0.37350997682540243,0.3482398089017254,0.3414737222233753
theta_2,$1-n^2$,1.5783333333333847,0.34824153473585795,0.3718811849017618,0.3480162898101095,0.34168970084143874
theta_2,$1-n^2$,1.5800000000000474,0.3489254019253431,0.37025719424042935,0.3478077844353963,0.34192113090689474
theta_2,$1-n^2$,1.58166666666671,0.3496244981759266,0.3686381633610896,0.34761430735694515,0.3421680053311367
theta_2,$1-n^2$,1.5833333333333728,0.35033880029020514,0.3670242480584457,0.3474358724130684,0.34243031649777167
theta_2,$1-n^2$,1.5850000000000355,0.35106828435837834,0.3654156014108873,0.34727249271674276,0.34270805625447426
theta_2,$1-n^2$,1.5866666666666982,0.3518129257332717,0.36381237379362463,0.34712418065780537,0.34300121590765165
theta_2,$1-n^2$,1.588333333333361,0.3525726990046465,0.36221471289221896,0.34699094790686486,0.34330978621593555
theta_2,$1-n^2$,1.5900000000000236,0.35334757797282756,0.36062276371659713,0.3468728054204507,0.3436337573826208
theta_2,$1-n^2$,1.5916666666666863,0.35413753562168254,0.3590366686156358,0.3467697634469224,0.34397311904716754
theta_2,$1-n^2$,1.593333333333349,0.35494254409098425,0.3574565672924025,0.34668183153265936,0.3443278602758865
theta_2,$1-n^2$,1.5950000000000117,0.35576257464818867,0.3558825968201388,0.34660901852805454,0.34469796955192383
theta_2,$1-n^2$,1.5966666666666747,0.3565975976596606,0.3543148916590739,0.3465513325928328,0.34508343476466485
theta_2,$1-n^2$,1.5983333333333374,0.35744758256137915,0.352753583674153,0.3465087812002163,0.3454842431986743
theta_2,$1-n^2$,1.6,0.35831249782915603,0.35119880215376775,0.34648137113945826,0.3459003815222913
theta_2,$1-n^2$,1.6016666666666628,0.359192310948398,0.34965067382957626,0.34646910851626744,0.34633183577599674
theta_2,$1-n^2$,1.6033333333333255,0.36008698838344627,0.34810932289749685,0.3464719987506447,0.346778591360672
theta_2,$1-n^2$,1.6049999999999882,0.36099649554652524,0.3465748710399639,0.3464900465716535,0.34724063302586644
theta_2,$1-n^2$,1.606666666666651,0.36192079676633215,0.3450474374495317,0.3465232560086467,0.34771794485819174
theta_2,$1-n^2$,1.6083333333333136,0.36285985525533676,0.3435271388482889,0.34657163040205113,0.3482105102641156
theta_2,$1-n^2$,1.6099999999999763,0.36381363307487563,0.3420140894971097,0.3466351724574828,0.34871831194145464
theta_2,$1-n^2$,1.611666666666639,0.36478209110489734,0.34050840123573356,0.34671388417387605,0.3492413318813449
theta_2,$1-n^2$,1.6133333333333018,0.36576518900919436,0.3390101834995159,0.34680776687151493,0.3497795513445252
theta_2,$1-n^2$,1.6149999999999645,0.3667628852016506,0.3375195433442472,0.3469168211862933,0.3503329508453982
theta_2,$1-n^2$,1.6166666666666272,0.36777513681209906,0.3360365854714968,0.34704104706342725,0.3509015101355234
theta_2,$1-n^2$,1.6183333333332899,0.3688018996517039,0.33456141225382324,0.3471804437532753,0.35148520818588824
theta_2,$1-n^2$,1.6199999999999526,0.36984312817792003,0.333094123759977,0.3473350098085981,0.3520840231681311
theta_2,$1-n^2$,1.6216666666666153,0.37089877545908023,0.3316348177802157,0.3475047430825914,0.3526979324348899
theta_2,$1-n^2$,1.6233333333333835,0.37196879313873144,0.3301835898517665,0.34768964072703684,0.35332691249949005
theta_2,$1-n^2$,1.6250000000000462,0.3730531313993641,0.328740533285107,0.34788969918983176,0.35397093901490556
theta_2,$1-n^2$,1.626666666666709,0.3741517389266026,0.3273057391898137,0.34810491421140866,0.354629986752765
theta_2,$1-n^2$,1.6283333333333716,0.37526456287255755,0.32587929650193603,0.3483352808191434,0.3553040295817818
theta_2,$1-n^2$,1.6300000000000343,0.3763915488194023,0.324461292011642,0.34858079331925795,0.3559930404463757
theta_2,$1-n^2$,1.631666666666697,0.3775326407428231,0.3230518103918106,0.34884144528548255,0.3566969913454233
theta_2,$1-n^2$,1.6333333333333597,0.3786877809754617,0.3216509342276022,0.3491172295438214,0.3574158533113501
theta_2,$1-n^2$,1.6350000000000224,0.37985691017040124,0.32025874404712973,0.34940813815275484,0.35814959638973803
theta_2,$1-n^2$,1.6366666666666851,0.3810399672644816,0.31887531835200367,0.34971416238452174,0.35889818961804054
theta_2,$1-n^2$,1.6383333333333479,0.3822368894373418,0.3175007336266297,0.35003529280494067,0.35966160097924926
theta_2,$1-n^2$,1.6400000000000106,0.3834476120770265,0.3161350643810299,0.3503715191972199,0.3604397973941935
theta_2,$1-n^2$,1.6416666666666733,0.3846720687427516,0.3147783831800662,0.35072283055199516,0.361232744696077
theta_2,$1-n^2$,1.643333333333336,0.38591019112723474,0.31343076066988584,0.3510892150680352,0.36204040760223083
theta_2,$1-n^2$,1.6449999999999987,0.387161909019797,0.3120922656081612,0.3514706601352791,0.36286274968978893
theta_2,$1-n^2$,1.6466666666666614,0.3884271502694033,0.3107629648937909,0.35186715232064125,0.3636997333701253
theta_2,$1-n^2$,1.648333333333324,0.38970584074770825,0.3094429235961953,0.35227867735583324,0.36455131986227013
theta_2,$1-n^2$,1.6499999999999868,0.3909979043121771,0.3081322049843395,0.3527052201264503,0.3654174691655213
theta_2,$1-n^2$,1.6516666666666495,0.3923032627693483,0.30683087055561703,0.35314676466157063,0.3662981400314682
theta_2,$1-n^2$,1.6533333333333122,0.3936218358383066,0.3055389800647258,0.35360329412311586,0.3671932899356448
theta_2,$1-n^2$,1.654999999999975,0.3949535411144354,0.3042565915526716,0.3540747907942201,0.3681028750490292
theta_2,$1-n^2$,1.6566666666666376,0.39629829403351463,0.30298376137602995,0.35456123606585654,0.3690268502096055
theta_2,$1-n^2$,1.6583333333333004,0.3976560078362344,0.3017205442366004,0.35506261042096926,0.3699651688942061
theta_2,$1-n^2$,1.659999999999963,0.3990265935331909,0.300466993211586,0.35557889341535864,0.37091778319085056
