K,eps,alpha,beta,gamma,theta,b,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,P_star,G_4,ell_1,applied_a_below_threshold,supercritical
88.69506154277296,0.1375377000274861,0.09523551257466974,0.0011420548753279778,0.023701864547409357,2.0,0.23398935504785928,0.3942839631116014,2.5362431484867463,5.0724862969734925,0.05397633619929577,116.40629486188733,1.365114413572867,-2.034984939502644,-2.59268383033951,True,True
95.51198989596053,0.13379999152960426,0.09843007960559857,0.001054972733239512,0.022505203354274254,2.0,0.2233488976073113,0.41539699784853606,2.4073356456096118,4.8146712912192235,0.052237472746511505,120.28118851900595,1.2915301458576454,-2.0416688293369454,-2.6147443368590544,True,True
78.76227837271735,0.12723026516802513,0.10891856396257794,0.0009891705535833867,0.022467538506185672,2.0,0.28838060237050256,0.2270242973597644,4.4048148662048465,8.809629732409693,0.047907734592873535,131.15179334975767,1.0709778303606992,-1.914993549197784,-2.5428580492275543,True,True
75.66670005343174,0.17469834130252537,0.09093607544762358,0.0008858038080754516,0.020945240448767083,2.0,0.31249495709602537,0.1612100760772931,6.203086211066263,12.406172422132526,0.04987013730377015,125.99093659813488,1.7335090198928005,-1.5185742783047003,-2.6598323356175593,False,True
103.46690576780301,0.15375943614531495,0.12284126186348582,0.0009838735291483652,0.01996955273348175,2.0,0.19616774522251867,0.48720362969050107,2.0525298644331853,4.105059728866371,0.05336818658519625,117.73278631360641,1.2035247477273188,-2.030821919455622,-2.9255072471739147,True,True
93.86521819934099,0.14339984123498106,0.1098081245733903,0.0009195392964520498,0.018888804714233497,2.0,0.21884140230784327,0.3619139887962405,2.763087448833058,5.526174897666116,0.04938835417635833,127.21997750205004,1.2433706499961883,-2.008652912204408,-2.916077216075529,True,True
95.33275406246561,0.12851970177812144,0.09885855057216994,0.0010503595611461942,0.023376375723342818,2.0,0.2334517029959097,0.3916669802332343,2.553189445289742,5.106378890579484,0.051914824880224586,121.02872968705668,1.2291846905320405,-2.044594102264055,-2.530786002712464,True,True
93.43648401981211,0.17108093998369495,0.08990226104959438,0.001135541283546857,0.018297188434817046,2.0,0.1724506934205951,0.5868253203752918,1.7040846147546447,3.4081692295092894,0.054405851739489204,115.4873070872096,1.8463731682378635,-2.0277183590639627,-3.188112600018962,True,True
93.97962783351153,0.13922064226573935,0.09399652590824206,0.0009049454728366138,0.021652618248010742,2.0,0.2545975888828609,0.29461760295148987,3.3942303174758184,6.788460634951637,0.050790672355410064,123.70746469376716,1.3851189541971443,-1.9760176947491308,-2.708198571052551,True,True
84.60276563595758,0.1802445838785048,0.08793951073725756,0.000983996305426582,0.019389344496142654,2.0,0.23290837156975377,0.3187866615590319,3.1368941068910536,6.273788213782107,0.05499284508064356,114.25459617456941,1.9384572299535159,-1.9341056815774593,-3.169613003671326,True,True
80.12314666416432,0.1470464842791383,0.08658401659512095,0.0009382882481683029,0.02115056873183403,2.0,0.2813375985270538,0.22339510536970078,4.476373814659373,8.952747629318745,0.04971225279416346,126.39107974437385,1.5638871493300008,-1.853068463901915,-2.7406442821407566,True,True
100.5517764231816,0.17048509953003615,0.12005542180872338,0.0009431537993948747,0.01800791996356725,2.0,0.1898852740022778,0.46921574165988655,2.1312157952382917,4.2624315904765835,0.05335737628278418,117.7566391922997,1.3688512785594162,-2.0135860606783456,-3.216860009642218,True,True
99.26018230607824,0.13798345056830513,0.08410215844322175,0.0010115059848403256,0.0199593040633338,2.0,0.1987933576570162,0.47425597155529753,2.1085659643262953,4.217131928652591,0.05056375104057873,124.26264226594198,1.575827692968706,-2.0403207423522214,-2.783916249309805,True,True
105.51661527213743,0.1392933431902025,0.09500523372790774,0.0011789439764044733,0.01682209977465022,2.0,0.13522786303660655,0.8980060126605552,1.113578290013074,2.227156580026148,0.047759076578672406,131.56002496885472,1.4393538088938043,-2.0358269373827564,-2.968829807644891,True,True
82.43937673678596,0.16320120262338056,0.09330933418886361,0.0011339557564542734,0.016861072122674837,2.0,0.18036587637589052,0.4908721726735179,2.0371902415114214,4.074380483022843,0.05077667074301244,123.74157689423224,1.6921347371801585,-2.01985611207939,-3.246007879148965,True,True
101.67744925282302,0.17726819133271268,0.10670461326887866,0.001173706937982946,0.02389773921270857,2.0,0.20024998999420374,0.5579286114295081,1.792344001570075,3.58468800314015,0.06257892091938104,100.40418107039696,1.5946801293642672,-2.0319097953359897,-2.877909758418985,True,True
78.43616224611985,0.16603423215634205,0.11450223984178667,0.0011749662926717783,0.022371958345506832,2.0,0.24275168775374978,0.3379893662395267,2.958672963963366,5.917345927926732,0.05669122925315235,110.83169989351053,1.3646030307358807,-1.9667799391759724,-2.880099808414558,True,True
78.53339269530088,0.14134356400993836,0.11029047540675417,0.0010832422609477399,0.02062250752695154,2.0,0.24241613133883258,0.3139131905164749,3.185594075721127,6.371188151442254,0.05040032151203468,124.66557987490765,1.2062458421485303,-1.9874253348198656,-2.7867855958022876,True,True
89.03993750748792,0.17958985374189346,0.08760699167395553,0.0009211602204200138,0.01761278111162267,2.0,0.21473751164737767,0.34797654462765926,2.8737569110297843,5.7475138220595685,0.05305381005930285,118.43042564061516,1.9554212216503422,-1.9609791020562877,-3.319007152695962,True,True
96.72890035539211,0.15306352115777025,0.11249701586545452,0.0011266061185626897,0.020445808766668287,2.0,0.1876186204495979,0.5496656177413823,1.8192878865319533,3.6385757730639066,0.054155542538887734,116.02109428906171,1.3127065618440221,-2.0383634347885304,-2.8805831324092153,True,True
95.98902602439277,0.1260177339994727,0.08426701803185573,0.0008899165933575115,0.02331629764897271,2.0,0.27295352108107174,0.27118604487383213,3.687505382016411,7.375010764032822,0.04960752073008748,126.65791828957033,1.3840403845743365,-1.9816627090384837,-2.5170038783335675,True,True
89.40295588863846,0.1246131898024698,0.09161103055416506,0.0009673310251441745,0.022479608034884947,2.0,0.25993319163999135,0.29363211855572596,3.4056219902599603,6.8112439805199205,0.049023769795023,128.1660984753047,1.2683370770773081,-2.004339215003004,-2.5474081662020573,True,True
76.30862745360966,0.18386326636818837,0.09564859053144388,0.0010598006268741193,0.018639213406126797,2.0,0.2304781538781458,0.31301917567995546,3.1946924587854766,6.389384917570953,0.054449116033974,115.39554293698978,1.8201670897976772,-1.9254337097116898,-3.2508932819232346,True,True
87.29959369450908,0.14959399569508974,0.08712535552951255,0.0010140162455300652,0.02158597661059493,2.0,0.24384539974112598,0.32389827624356243,3.0873890765878236,6.174778153175647,0.05295330226538404,118.6552120147368,1.6149035977503663,-1.9816027825012488,-2.7990310843055006,True,True
73.83796924402773,0.1286300805602123,0.08382685343374507,0.0008857379059203538,0.016350595272123482,2.0,0.2500049419394685,0.22945057017997292,4.358237154153225,8.71647430830645,0.04221687638513705,148.83112738752163,1.438565062880877,-1.9293068689163608,-2.93919066524605,True,True
74.57720667941797,0.18500017655029175,0.0938391986450124,0.0011600478349792082,0.01811696712843452,2.0,0.2094129264059229,0.378952925850262,2.6388501889945455,5.277700377989091,0.05486335675595849,114.52425951857556,1.885003529644983,-1.972593725968806,-3.3258098769776177,True,True
79.79465681042818,0.18281263420689053,0.08947473203394733,0.0011878783530932296,0.020049198088051376,2.0,0.21151989749753905,0.41187507843333643,2.427920630215683,4.855841260431366,0.057473435771102206,109.32329384662937,1.9517630401324753,-1.989013449543929,-3.1633465383227293,True,True
103.01309368722539,0.13585241420385308,0.12074120053710126,0.0010206391229891142,0.020817643466488758,2.0,0.1980007907062583,0.49959103577565783,2.0016371960065586,4.003274392013117,0.051310379861595146,122.45446874741289,1.0810428672120749,-2.046290498908506,-2.7089402299202274,True,True
84.78791868161855,0.1766785305934263,0.0961304060032041,0.0009267730506441307,0.017638004873099994,2.0,0.22446161692016312,0.31488862431051606,3.175726027542634,6.351452055085268,0.052210647989769585,120.34298651897109,1.7453055705839677,-1.9395853441423976,-3.281735639737424,True,True
86.1653617345004,0.16977224221342516,0.0955406749142921,0.00116543919559353,0.018211406718340754,2.0,0.18135150249018514,0.5244149550817764,1.9068868847267364,3.813773769453473,0.05382601816887774,116.73137863302938,1.7185215666004623,-2.0225900376538064,-3.1897180717852653,True,True
